Size,Type,Time
70000,Sequential,0.022208
70000,Parallel,0.457282
70000,Built-in,0.037789
300,Sequential,0.000168
300,Parallel,0.062361
300,Built-in,0.000114
30000,Sequential,0.012148
30000,Parallel,0.270968
30000,Built-in,0.006078
700,Sequential,0.000099
700,Parallel,0.036745
700,Built-in,0.000112
50,Sequential,0.000005
50,Parallel,0.012090
50,Built-in,0.000006
9000,Sequential,0.002046
9000,Parallel,0.119101
9000,Built-in,0.001571
1000,Sequential,0.000145
1000,Parallel,0.061339
1000,Built-in,0.000152
9000000,Sequential,5.220350
9000000,Parallel,2.513922
9000000,Built-in,5.107332
5000000,Sequential,2.134833
5000000,Parallel,1.145764
5000000,Built-in,2.444689
90,Sequential,0.000018
90,Parallel,0.037506
90,Built-in,0.000018
70,Sequential,0.000015
70,Parallel,0.030050
70,Built-in,0.000014
3000000,Sequential,1.106884
3000000,Parallel,0.815644
3000000,Built-in,0.883318
5000,Sequential,0.001542
5000,Parallel,0.211236
5000,Built-in,0.001532
300000,Sequential,0.120666
300000,Parallel,0.207259
300000,Built-in,0.078074
100,Sequential,0.000016
100,Parallel,0.048284
100,Built-in,0.000027
50000,Sequential,0.033397
50000,Parallel,0.282300
50000,Built-in,0.010940
900000,Sequential,0.312988
900000,Parallel,0.408924
900000,Built-in,0.312706
500,Sequential,0.000096
500,Parallel,0.062260
500,Built-in,0.000138
900,Sequential,0.000182
900,Parallel,0.083854
900,Built-in,0.000185
3000,Sequential,0.000979
3000,Parallel,0.111556
3000,Built-in,0.000701
7000000,Sequential,3.037159
7000000,Parallel,1.911055
7000000,Built-in,2.775602
100000,Sequential,0.031357
100000,Parallel,0.270014
100000,Built-in,0.033058
10,Sequential,0.000002
10,Parallel,0.005458
10,Built-in,0.000002
30,Sequential,0.000006
30,Parallel,0.010348
30,Built-in,0.000006
10000,Sequential,0.003728
10000,Parallel,0.236617
10000,Built-in,0.002221
1000000,Sequential,0.533201
1000000,Parallel,0.483976
1000000,Built-in,0.256320
700000,Sequential,0.310954
700000,Parallel,0.411593
700000,Built-in,0.399435
7000,Sequential,0.002664
7000,Parallel,0.232415
7000,Built-in,0.001677
500000,Sequential,0.316755
500000,Parallel,0.038385
500000,Built-in,0.212421
90000,Sequential,0.025159
90000,Parallel,0.199132
90000,Built-in,0.031725
70000,Sequential,0.025342
70000,Parallel,0.188366
70000,Built-in,0.021786
300,Sequential,0.000041
300,Parallel,0.048427
300,Built-in,0.000106
30000,Sequential,0.010340
30000,Parallel,0.171333
30000,Built-in,0.005956
700,Sequential,0.000096
700,Parallel,0.072995
700,Built-in,0.000152
50,Sequential,0.000005
50,Parallel,0.009763
50,Built-in,0.000006
9000,Sequential,0.001631
9000,Parallel,0.119205
9000,Built-in,0.002975
1000,Sequential,0.000222
1000,Parallel,0.110572
1000,Built-in,0.000384
9000000,Sequential,3.794155
9000000,Parallel,2.399896
9000000,Built-in,4.717535
5000000,Sequential,1.670217
5000000,Parallel,1.309128
5000000,Built-in,2.311573
90,Sequential,0.000014
90,Parallel,0.049667
90,Built-in,0.000012
70,Sequential,0.000009
70,Parallel,0.018126
70,Built-in,0.000009
3000000,Sequential,1.283346
3000000,Parallel,0.574731
3000000,Built-in,1.174611
5000,Sequential,0.000926
5000,Parallel,0.081193
5000,Built-in,0.000933
300000,Sequential,0.074328
300000,Parallel,0.198714
300000,Built-in,0.112437
100,Sequential,0.000012
100,Parallel,0.021589
100,Built-in,0.000011
50000,Sequential,0.013185
50000,Parallel,0.386731
50000,Built-in,0.018901
900000,Sequential,0.522912
900000,Parallel,0.361933
900000,Built-in,0.284323
500,Sequential,0.000067
500,Parallel,0.198287
500,Built-in,0.000260
900,Sequential,0.000300
900,Parallel,-0.104390
900,Built-in,0.000366
3000,Sequential,0.000961
3000,Parallel,0.122156
3000,Built-in,0.000481
7000000,Sequential,3.062064
7000000,Parallel,1.943116
7000000,Built-in,3.031344
100000,Sequential,0.044881
100000,Parallel,0.249879
100000,Built-in,0.041498
10,Sequential,0.000001
10,Parallel,0.002494
10,Built-in,0.000001
30,Sequential,0.000003
30,Parallel,0.008009
30,Built-in,0.000003
10000,Sequential,0.001790
10000,Parallel,0.155331
10000,Built-in,0.002127
1000000,Sequential,0.343539
1000000,Parallel,0.350681
1000000,Built-in,0.438558
700000,Sequential,0.369860
700000,Parallel,0.324155
700000,Built-in,0.065500
7000,Sequential,0.003286
7000,Parallel,0.313658
7000,Built-in,0.001508
500000,Sequential,0.263922
500000,Parallel,0.314515
500000,Built-in,0.182147
90000,Sequential,0.049563
90000,Parallel,0.429140
90000,Built-in,0.020441
70000,Sequential,0.018038
70000,Parallel,0.191652
70000,Built-in,0.017285
300,Sequential,0.000058
300,Parallel,0.048707
300,Built-in,0.000059
30000,Sequential,0.007115
30000,Parallel,0.170373
30000,Built-in,0.006715
700,Sequential,0.000110
700,Parallel,0.084397
700,Built-in,0.000116
50,Sequential,0.000006
50,Parallel,0.013513
50,Built-in,0.000006
9000,Sequential,0.002411
9000,Parallel,0.146018
9000,Built-in,0.001593
1000,Sequential,0.000195
1000,Parallel,0.112774
1000,Built-in,0.002745
9000000,Sequential,3.412886
9000000,Parallel,2.422679
9000000,Built-in,3.788650
5000000,Sequential,1.994534
5000000,Parallel,1.310825
5000000,Built-in,1.982424
90,Sequential,0.000008
90,Parallel,0.017015
90,Built-in,0.000010
70,Sequential,0.000008
70,Parallel,0.010950
70,Built-in,0.000009
3000000,Sequential,1.216114
3000000,Parallel,0.847873
3000000,Built-in,1.036679
5000,Sequential,0.000873
5000,Parallel,0.109262
5000,Built-in,0.001003
300000,Sequential,0.122102
300000,Parallel,0.305898
300000,Built-in,0.117359
100,Sequential,0.000011
100,Parallel,0.020715
100,Built-in,0.000010
50000,Sequential,0.011986
50000,Parallel,0.133739
50000,Built-in,0.016460
900000,Sequential,0.297100
900000,Parallel,0.267785
900000,Built-in,0.237994
500,Sequential,0.000148
500,Parallel,0.115553
500,Built-in,0.000163
900,Sequential,0.000292
900,Parallel,0.116344
900,Built-in,0.000332
3000,Sequential,0.001118
3000,Parallel,0.218345
3000,Built-in,0.001010
7000000,Sequential,3.110108
7000000,Parallel,1.663161
7000000,Built-in,3.164187
100000,Sequential,0.023990
100000,Parallel,0.142927
100000,Built-in,0.024030
10,Sequential,0.000000
10,Parallel,0.003261
10,Built-in,0.000001
30,Sequential,0.000005
30,Parallel,0.010575
30,Built-in,0.000004
10000,Sequential,0.002118
10000,Parallel,0.113930
10000,Built-in,0.002366
1000000,Sequential,0.325254
1000000,Parallel,0.296744
1000000,Built-in,0.512220
700000,Sequential,0.311402
700000,Parallel,0.217425
700000,Built-in,0.274939
7000,Sequential,0.002365
7000,Parallel,0.192039
7000,Built-in,0.002787
500000,Sequential,0.272107
500000,Parallel,0.340276
500000,Built-in,0.227406
90000,Sequential,0.037186
90000,Parallel,0.312046
90000,Built-in,0.037847
70000,Sequential,0.032794
70000,Parallel,0.523755
70000,Built-in,0.037224
300,Sequential,0.000038
300,Parallel,0.044844
300,Built-in,0.000049
30000,Sequential,0.006222
30000,Parallel,0.181348
30000,Built-in,0.006543
700,Sequential,0.000105
700,Parallel,0.055260
700,Built-in,0.000129
50,Sequential,0.000007
50,Parallel,0.017795
50,Built-in,0.000008
9000,Sequential,0.002839
9000,Parallel,0.403803
9000,Built-in,0.005092
1000,Sequential,0.000635
1000,Parallel,0.229571
1000,Built-in,0.000314
9000000,Sequential,3.327752
9000000,Parallel,2.524330
9000000,Built-in,3.330574
5000000,Sequential,2.076208
5000000,Parallel,1.178580
5000000,Built-in,1.992401
90,Sequential,0.000010
90,Parallel,0.020758
90,Built-in,0.000009
70,Sequential,0.000008
70,Parallel,0.011361
70,Built-in,0.000007
3000000,Sequential,1.455546
3000000,Parallel,0.398129
3000000,Built-in,1.449535
5000,Sequential,0.001641
5000,Parallel,0.251143
5000,Built-in,0.001904
300000,Sequential,0.123029
300000,Parallel,0.214880
300000,Built-in,0.089774
100,Sequential,0.000018
100,Parallel,0.029760
100,Built-in,0.000016
50000,Sequential,0.021120
50000,Parallel,0.384628
50000,Built-in,0.014005
900000,Sequential,0.276425
900000,Parallel,0.449702
900000,Built-in,0.228534
500,Sequential,0.000082
500,Parallel,0.062662
500,Built-in,0.000083
900,Sequential,0.000144
900,Parallel,0.102479
900,Built-in,0.000145
3000,Sequential,0.000533
3000,Parallel,0.099285
3000,Built-in,0.000555
7000000,Sequential,2.686883
7000000,Parallel,1.859520
7000000,Built-in,3.145226
100000,Sequential,0.020487
100000,Parallel,0.121064
100000,Built-in,0.019856
10,Sequential,0.000001
10,Parallel,0.002584
10,Built-in,0.000001
30,Sequential,0.000003
30,Parallel,0.007387
30,Built-in,0.000003
10000,Sequential,0.001647
10000,Parallel,0.105159
10000,Built-in,0.001613
1000000,Sequential,0.248022
1000000,Parallel,0.306618
1000000,Built-in,0.413464
700000,Sequential,0.366165
700000,Parallel,0.224072
700000,Built-in,0.208067
7000,Sequential,0.001268
7000,Parallel,0.121550
7000,Built-in,0.001353
500000,Sequential,0.122956
500000,Parallel,39.875323
500000,Built-in,-39.507887
90000,Sequential,0.018460
90000,Parallel,0.300137
90000,Built-in,0.025580
70000,Sequential,0.019362
70000,Parallel,0.210730
70000,Built-in,0.021041
300,Sequential,0.000043
300,Parallel,0.249194
300,Built-in,0.000159
30000,Sequential,0.017301
30000,Parallel,0.601069
30000,Built-in,0.014470
700,Sequential,0.000228
700,Parallel,0.131176
700,Built-in,0.000251
50,Sequential,0.000013
50,Parallel,0.022229
50,Built-in,0.000012
9000,Sequential,0.004009
9000,Parallel,0.349043
9000,Built-in,0.007795
1000,Sequential,0.000357
1000,Parallel,0.065631
1000,Built-in,0.000134
9000000,Sequential,3.507644
9000000,Parallel,2.368698
9000000,Built-in,3.320295
5000000,Sequential,1.874459
5000000,Parallel,1.238994
5000000,Built-in,1.707487
90,Sequential,0.000009
90,Parallel,0.017739
90,Built-in,0.000008
70,Sequential,0.000007
70,Parallel,0.017448
70,Built-in,0.000006
3000000,Sequential,1.132103
3000000,Parallel,0.754659
3000000,Built-in,0.881866
5000,Sequential,0.001188
5000,Parallel,0.145583
5000,Built-in,0.001102
300000,Sequential,0.097079
300000,Parallel,0.276490
300000,Built-in,0.124603
100,Sequential,0.000026
100,Parallel,0.044446
100,Built-in,0.000022
50000,Sequential,0.027657
50000,Parallel,0.335548
50000,Built-in,0.010216
900000,Sequential,0.533344
900000,Parallel,0.527315
900000,Built-in,0.277339
500,Sequential,0.000102
500,Parallel,0.057496
500,Built-in,0.000096
900,Sequential,0.000158
900,Parallel,0.076839
900,Built-in,0.000201
3000,Sequential,0.000643
3000,Parallel,0.109455
3000,Built-in,0.000580
7000000,Sequential,3.113800
7000000,Parallel,1.765717
7000000,Built-in,2.962193
100000,Sequential,0.045363
100000,Parallel,0.394192
100000,Built-in,0.066876
10,Sequential,0.000001
10,Parallel,0.003028
10,Built-in,0.000001
30,Sequential,0.000003
30,Parallel,0.009187
30,Built-in,0.000005
10000,Sequential,0.001928
10000,Parallel,0.123915
10000,Built-in,0.002339
1000000,Sequential,0.391985
1000000,Parallel,0.376246
1000000,Built-in,0.520885
700000,Sequential,0.322311
700000,Parallel,0.329905
700000,Built-in,0.189366
7000,Sequential,0.001160
7000,Parallel,0.094778
7000,Built-in,0.001068
500000,Sequential,0.134591
500000,Parallel,0.180554
500000,Built-in,0.136396
90000,Sequential,0.026489
90000,Parallel,0.161370
90000,Built-in,0.019197
